iter_0000010	iter_0000050	iter_0000100	iter_0000500	iter_0001000	iter_0005000	iter_0010000	iter_0050000	iter_0100000
m	m	m	0.02	0.03	0.04	0.06	0.07	0.09
m	m	m	0.01	0.02	0.03	0.06	0.06	0.08
m	m	m	0.01	0.02	0.03	0.05	0.06	0.07
m	m	m	0.01	0.02	0.03	0.04	0.05	0.06
m	m	m	0.01	0.02	0.02	0.04	0.05	0.06
m	m	m	0.01	0.02	0.02	0.04	0.04	0.06
m	m	m	0.01	0.01	0.02	0.03	0.04	0.05
m	m	m	0.01	0.01	0.02	0.03	0.04	0.05
m	m	m	0.00	0.01	0.02	0.03	0.04	0.04
m	m	m	0.00	0.01	0.02	0.03	0.04	0.04
m	m	m	0.00	0.01	0.02	0.02	0.04	0.04
m	m	m	0.00	0.01	0.02	0.02	0.04	0.04
m	m	m	0.00	0.01	0.02	0.02	0.03	0.04
m	m	m	0.00	0.01	0.02	0.02	0.03	0.04
m	m	m	0.00	0.01	0.01	0.02	0.03	0.03
m	m	m	0.00	0.01	0.01	0.02	0.03	0.03
m	m	m	0.00	0.01	0.01	0.02	0.03	0.03
m	m	m	0.00	0.01	0.01	0.02	0.03	0.03
m	m	m	0.00	0.01	0.01	0.02	0.03	0.03
m	m	m	0.00	0.00	0.01	0.02	0.02	0.03
m	m	m	0.00	0.00	0.01	0.02	0.02	0.03
m	m	m	0.00	0.00	0.01	0.02	0.02	0.03
m	m	m	0.00	0.00	0.01	0.02	0.02	0.02
m	m	m	0.00	0.00	0.01	0.02	0.02	0.02
m	m	m	0.00	0.00	0.01	0.02	0.02	0.02
m	m	m	0.00	0.00	0.01	0.02	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.02	0.02
m	m	m	0.00	0.00	0.01	0.01	0.01	0.02
m	m	m	0.00	0.00	0.01	0.01	0.01	0.02
m	m	m	0.00	0.00	0.00	0.01	0.01	0.02
m	m	m	0.00	0.00	0.00	0.01	0.01	0.02
